From	To
Q9BTZ2	10901
Q9BYV7	83875
P30566	158
Q3LI59	337978
Q9BTM1	55766
Q9H871	64795
Q96BN8	90268
Q9Y6W8	29851
Q9H772	64388
Q5T200	23091
Q16584	4296
O15355	5496
Q6NSI3	152877
P53350	5347
Q8NEY3	132851
Q15669	399
Q5HYJ3	143684
Q9Y6J0	23523
Q01543	2313
Q8N127	219447
Q15435	5510
P78317	6047
Q8IUE1	90316
Q5K4L6	11000
Q15772	10290
O43861	374868
Q9UQC9	9635
Q9HBL7	55848
Q9NZV8	3751
P20823	6927
Q8N5S1	284427
P0C7M7	341392
P01344	3481
Q5JU85	23096
Q8WXX0	56171
Q9BQS7	9843
Q99966	4435
Q8NET6	166012
P56557	757
Q9NRY4	2909
P11464	5669
Q96Q89	9585
O95678	9119
Q99501	10634
Q8NI51	140690
Q9P2J9	57546
Q2KHT4	83445
Q9Y5J7	26520
A6NGE7	646625
Q15620	26493
Q8N7U6	151651
Q9UGJ0	51422
Q6P1M3	3993
Q9UHD2	29110
A2RUT3	440955
Q96T51	80230
Q8NE01	26505
Q96QE3	79915
Q96Q35	130540
Q14055	1298
Q8NH02	343563
O43684	9184
P15172	4654
Q12851	5871
P34982	4991
Q9BXR5	81793
Q9NQ33	56676
Q9ULM2	57474
Q9UMR5	9374
Q9UJ99	64405
O75747	5288
P36639	4521
Q7Z602	353345
Q9Y6A1	10585
P12036	4744
O14526	23149
Q92625	23294
P04070	5624
Q9UL45	26258
Q6ZTI6	100533183
Q6ZTI6	144347
O43508	407977
O43508	8742
Q7Z3Z3	440822
Q92783	8027
P47710	1446
Q14011	1153
Q9BXC9	583
Q96KP1	55770
O60477	1620
O14531	10570
Q92576	23469
Q6R6M4	377630
Q8NHS0	165721
O75131	8895
Q5TFG8	153918
Q9UHP7	29121
Q8TCC7	9376
P13232	3574
Q96C57	64897
Q96M91	220136
A6NDU8	285636
Q3L8U1	80205
Q9HBM6	51616
Q12797	444
Q9H6S0	64848
Q9UKV3	22985
Q5TAG4	149013
Q96PY5	114793
P55259	2813
Q96I51	81554
Q8TC76	90362
P32241	7433
Q92754	7022
O76039	6792
Q7Z5W3	144233
Q8WXI2	22866
P18509	116
O94851	9645
Q96QK1	55737
Q8TCV5	149708
Q8IWV7	197131
Q8WWK9	26586
Q9BVI0	51230
P63000	5879
Q6P1R4	64118
P24298	2875
P22695	7385
Q86T65	23500
P43681	1137
O94900	9760
P30874	6752
Q7Z3D6	80017
Q9BXJ2	114905
Q6UXG2	57535
P09228	1470
P58062	84651
Q8N423	10288
Q8NBT3	284339
Q9NQ69	56956
Q9HCC8	54857
Q96EX3	89891
Q8NEV4	53904
P78314	6452
Q6ZVM7	146691
Q6NX49	27300
Q9BT88	23208
Q5T2E6	79591
Q86Y39	126328
Q9UK23	51172
P15313	525
Q7Z6Z6	150379
Q8N8Y5	286128
P35637	2521
Q8NHW3	389692
Q7Z353	139324
A6NK06	730249
Q8IZ41	158158
Q8NGB9	390648
Q9ULD9	57507
Q9NPJ3	55856
O75665	8481
Q8TCE9	56891
Q5VVJ2	114803
Q05516	7704
Q08ET2	100049587
O43283	9175
Q147X3	122830
Q9H9Y2	80135
Q6RFH5	54663
Q17R98	152485
Q587J7	91646
O75575	27297
Q9BUE6	81689
Q13033	29966
A8MUK1	728386
Q6P4A8	79887
Q15111	5334
Q96L15	116969
Q5SQS7	387694
P62256	7328
P25098	156
O14581	26333
O76050	9148
O95777	51691
Q53FT3	51501
Q86TJ5	115196
Q4KMP7	26000
O15318	10622
Q9UJ78	9205
Q96LY2	91409
Q86WI0	340596
Q9NS28	64407
P0CG40	100131390
P38435	2677
Q9BYG8	56169
Q96RT6	64693
Q15735	27124
Q9Y5U4	51141
P49643	5558
Q15878	777
Q5T5C0	134957
O00409	1112
Q15323	3881
Q9HCN3	58986
O95456	8624
O15537	6247
A6NJ08	284428
Q5TBK1	90634
O75431	10651
P29275	136
Q9NXK6	54852
P98194	27032
Q9Y337	25818
Q86Y22	91522
P84098	6143
Q8N661	255043
P35372	4988
Q8NGJ8	119692
Q9Y383	51631
P07307	433
Q8WXF7	51062
Q8TCT7	56928
Q8N386	126364
Q9UIQ6	4012
Q9HAV7	80273
Q6NVH7	126074
Q9ULV5	3299
P51149	7879
Q9UHI5	23428
P30153	5518
P35443	7060
Q9BYS1	83895
Q13237	5593
Q9H1H1	149699
Q9BU76	79169
A4GXA9	197342
O15258	11079
Q9NWF9	54476
P47900	5028
P13647	3852
Q08426	1962
Q96C10	79132
Q8NFA2	124056
Q9UKC9	25827
O43312	9788
Q13219	5069
P11844	1418
Q969P5	114907
Q9NQR1	387893
Q9BZJ6	81491
Q8NGR5	254973
O00468	375790
Q9Y253	5429
O15444	6370
P30405	10105
Q9NVC6	9440
Q9NZ52	23163
Q86TG7	23089
Q07666	10657
Q3MUY2	84992
Q96CE8	116441
Q96M61	286514
O43736	9452
Q9GZU3	55116
P14543	4811
Q86YS3	84440
O75461	1876
Q8NGQ5	219956
Q15477	6499
Q99972	4653
Q3MIN7	57139
P32004	3897
Q27J81	64423
Q96H20	11267
Q09327	4248
Q8N1P7	55057
Q96SK2	84928
P09455	5947
Q13422	10320
P30536	706
Q15303	2066
P17027	7571
Q8NGV6	79295
O95847	9481
Q8TBR7	79850
P42575	835
Q9NRB3	55501
Q9UBV2	6400
O60732	9947
Q9BYQ4	83899
Q96MH6	137695
P82914	64960
Q6UY18	339398
P78504	182
A6NHC0	388743
O95231	27287
Q8IVF7	91010
Q9P2V4	26103
P49917	3981
Q9NUG4	140706
Q9HCN6	51206
Q5VTD9	8328
P23677	3706
P43699	7080
Q86UD3	115123
Q9GZP1	80023
O60575	27290
P15622	58500
O95922	25809
A6NEK1	645432
Q8NDZ2	375484
Q9NZQ0	51277
Q709C8	54832
O43301	259217
Q9UBT2	10054
P32249	1880
O14830	5470
Q8N0Y3	283694
Q9NYA3	342096
Q9NV64	55254
Q9NRX3	56901
Q9UHL0	29118
P51911	1264
Q96G75	64777
Q9H4L5	26031
O43242	5709
Q32MQ0	79755
P26885	2286
Q96N03	128434
Q8IUH4	54503
P15559	1728
Q8NEG7	414918
Q9UII5	51427
Q8NGD4	79544
O95050	11185
Q9H0F6	81858
P08912	1133
Q9P0V3	23677
Q14185	1793
O15504	11097
Q5TB30	55635
Q5TGY1	255104
P16989	8531
P18146	1958
Q9Y5L4	26517
O96005	1209
Q9BSQ5	83605
Q9UHF5	27190
Q02818	4924
Q06323	5720
Q9H3Q1	23580
O60218	57016
Q7Z4G4	60487
P50591	8743
Q9H061	84233
Q8N4A0	100528030
Q8N4A0	8693
A6NCS4	137814
Q8TER0	25992
O15551	1365
Q8IYS4	146562
Q9HAJ7	79685
Q13454	7991
P31512	2329
Q8N7Q3	163223
P62847	6229
Q68BL7	169611
Q8IVF4	196385
Q9Y6A4	29105
Q5T4B2	51148
Q8WYR1	23533
Q8NHC8	254879
Q8TF62	79895
P62841	6209
Q9UNA1	23092
Q9HB90	64121
P29966	4082
Q9BXU0	56158
P08476	3624
O60925	5201
Q70CQ2	9736
P10600	7043
Q53EU6	84803
Q8N4E7	94033
O60763	8615
Q969N2	51604
Q6IA86	55250
Q00266	4143
Q6P1Q0	25875
Q8N8N7	145482
P63173	6169
Q14154	9812
O75191	9942
P40238	4352
Q7Z7F7	128308
Q14527	6596
Q96SE0	84696
P13671	729
P09067	3215
O76090	7439
Q9Y5Y2	10101
Q9UMR3	57057
P56705	54361
Q5VWJ9	401548
Q2TB18	28990
O14949	27089
P45974	8078
Q8WUY8	57106
A0A0A0MTK1	10520
Q9H2X6	28996
Q9NZN8	4848
Q5JY77	9737
A8MVW5	253012
Q9HD23	57380
Q8TEU7	51735
P47755	830
Q96PD6	116255
Q6IS14	143244
Q5VT98	645425
P57052	54033
Q14520	3026
Q9Y697	9054
Q8IZU1	171482
Q9Y3A4	27341
Q14919	10589
Q03923	7639
Q9NS69	56993
Q16206	10495
Q9H267	26276
O94941	22888
P01562	3439
P01562	3447
Q9C0F0	80816
O15375	9121
Q9UGN4	11314
A0A0A0MRK5	387103
Q6ZUI0	285386
Q5H9R4	100131755
P43121	4162
Q9UGK8	26297
Q8NGY2	81448
A0PJX2	140711
Q8N159	162417
Q8IVS8	132158
Q8NHW4	388372
Q8NHW4	9560
P17041	7580
P55055	7376
Q9HAE3	79645
Q6PIY5	339541
Q92930	51762
Q9C0G6	1768
Q9NR83	56731
P57057	54020
Q14137	23246
Q14165	9761
Q6IC98	23151
Q9C0J1	79369
P20718	2999
Q14916	6568
P12318	2212
P0C6C1	390616
Q9BUF5	84617
O00444	10733
Q9BXF3	27443
Q9UQR1	7707
Q9Y6D9	8379
A6ND48	401994
Q9UBL9	22953
Q9Y2Q5	28956
Q9Y2J4	51421
Q8IYR6	100526694
Q8IYR6	8577
Q7RTS3	256297
Q6PEV8	139231
Q8WXD0	122042
Q53GI3	84124
Q86SZ2	122553
Q9Y6G1	28978
P78324	140885
Q5SY80	257044
Q9C0D3	79699
Q8TE82	54436
P10412	3008
P35523	1180
Q96EY9	113179
Q96EL3	116540
P01133	1950
O95139	4712
Q8WWI5	23446
P81605	117159
Q9BXS4	9528
Q9Y286	27036
P54368	4946
Q9NR12	9260
A6NIK2	390205
Q96T25	85416
Q5HY98	90321
P54750	5136
Q6P1K8	728340
Q6P1K8	730394
Q86XE0	254122
Q2TAC6	124602
Q8WXB1	151194
P09661	6627
Q9P202	25861
P26572	4245
Q96B26	11340
Q96M93	132612
Q9BW92	80222
Q9Y2G5	23275
Q9BYD5	84518
Q6ZRK6	493860
Q719H9	284252
Q9H3L0	27249
Q8IYM0	84070
Q9Y5B9	11198
Q8TCX5	114822
Q13362	5527
Q8NC44	79137
Q13507	7222
Q13506	4664
Q8IYX7	158297
P46782	6193
Q9Y281	1073
Q96GE5	90576
P84090	2079
Q8NFB2	84548
Q9H2U9	8756
Q8TDN1	93107
Q2NL67	56965
Q15723	1998
Q9H159	28513
F8WFD2	642778
Q9BXC0	27198
O75881	9420
P55198	4302
P14784	3560
P02776	5196
P18545	5148
Q9UEW8	27347
O75386	7289
Q9H1Q7	64773
Q8NGF7	219965
Q6W5P4	387129
Q6ZSA7	219527
O15084	23243
Q9HBK9	57412
D6RF30	653125
Q9H875	79706
Q9UKX7	10762
O43707	81
P30989	4923
Q14642	3632
P11047	3915
Q9BX84	140803
P0DKL9	644100
Q3KNT9	339168
Q99624	10991
A0A087WZE9	9324
Q9H2G9	8548
Q2KHR3	79832
Q96P53	115825
Q14669	9320
O00294	7287
Q8NGV0	134083
A6NIJ9	390327
O43182	395
Q9ULZ9	4326
Q53GS7	2733
Q8N6T7	51548
Q01740	2326
O43638	2307
Q8N5P1	84524
P55957	637
Q9BSI4	26277
Q12946	2294
Q96I25	84991
Q6PJT7	79882
Q86VF2	91156
P67775	5515
Q9H115	63908
Q99784	10439
Q8NGH5	120796
O95342	8647
Q16695	8290
Q9Y239	10392
Q6P4A7	119559
Q02297	3084
Q7Z5L2	27291
Q16585	6443
P48553	7109
O95561	92346
Q6Y288	145173
O43866	922
Q9HCK5	192670
Q04695	3872
Q9UIY3	112611
P04085	5154
Q9NR23	9573
Q96PU9	113746
Q3SY84	112802
O95677	2070
Q9BYV1	64902
Q9H2M9	25782
Q9BWW8	80830
Q99622	113246
Q9NXR8	54556
Q6UWV2	196264
Q9GZZ9	79876
Q9UJD0	9783
P04839	1536
Q96FG2	84173
O60333	23095
Q9UBW7	7750
Q14588	10780
P59542	259294
Q8WYR4	89765
Q15637	7536
O14662	8675
P21675	6872
P55196	4301
A2RU48	440087
Q9Y6E2	28969
Q9NY93	54606
P63162	6638
P63162	8926
O00339	4147
O95154	22977
Q9H2C2	64801
Q8WWQ2	60495
Q5T751	353133
Q9Y248	51659
Q15431	6847
Q0P6H9	80021
Q9UKY7	55573
